id,age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,39,State-gov,77516,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,2174,0,40,United-States,<=50K
1,50,Self-emp-not-inc,83311,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,13,United-States,<=50K
2,38,Private,215646,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
3,53,Private,234721,11th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K
4,28,Private,338409,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,Cuba,<=50K
5,37,Private,284582,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K
6,49,Private,160187,9th,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,16,Jamaica,<=50K
12,23,Private,122272,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,<=50K
13,32,Private,205019,Assoc-acdm,Never-married,Sales,Not-in-family,Black,Male,0,0,50,United-States,<=50K
14,34,Private,245487,7th-8th,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,Mexico,<=50K
15,25,Self-emp-not-inc,176756,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,United-States,<=50K
16,32,Private,186824,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,<=50K
17,38,Private,28887,11th,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
20,54,Private,302146,HS-grad,Separated,Other-service,Unmarried,Black,Female,0,0,20,United-States,<=50K
21,35,Federal-gov,76845,9th,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,United-States,<=50K
22,43,Private,117037,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2042,40,United-States,<=50K
23,59,Private,109015,HS-grad,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K
25,19,Private,168294,HS-grad,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
26,39,Private,367260,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,80,United-States,<=50K
27,49,Private,193366,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
28,23,Local-gov,190709,Assoc-acdm,Never-married,Protective-serv,Not-in-family,White,Male,0,0,52,United-States,<=50K
29,20,Private,266015,Some-college,Never-married,Sales,Own-child,Black,Male,0,0,44,United-States,<=50K
30,45,Private,386940,Bachelors,Divorced,Exec-managerial,Own-child,White,Male,0,1408,40,United-States,<=50K
31,30,Federal-gov,59951,Some-college,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
32,22,State-gov,311512,Some-college,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,15,United-States,<=50K
33,48,Private,242406,11th,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,Puerto-Rico,<=50K
34,21,Private,197200,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
35,19,Private,544091,HS-grad,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,25,United-States,<=50K
36,48,Self-emp-not-inc,265477,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
37,31,Private,507875,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43,United-States,<=50K
38,53,Self-emp-not-inc,88506,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
39,24,Private,172987,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,<=50K
40,49,Private,94638,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
41,25,Private,289980,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,35,United-States,<=50K
42,53,Private,144361,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,<=50K
43,44,Private,128354,Masters,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
44,41,State-gov,101603,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
45,29,Private,271466,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,43,United-States,<=50K
46,25,Private,32275,Some-college,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,40,United-States,<=50K
49,47,Self-emp-inc,109832,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K
51,46,Private,216666,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K
52,35,Private,56352,Assoc-voc,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Puerto-Rico,<=50K
53,41,Private,147372,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,United-States,<=50K
54,30,Private,188146,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5013,0,40,United-States,<=50K
55,30,Private,59496,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,2407,0,40,United-States,<=50K
56,48,Private,149640,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
58,29,Private,105598,Some-college,Divorced,Tech-support,Not-in-family,White,Male,0,0,58,United-States,<=50K
59,36,Private,155537,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
60,28,Private,183175,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
62,19,Private,101509,Some-college,Never-married,Prof-specialty,Own-child,White,Male,0,0,32,United-States,<=50K
63,31,Private,309974,Bachelors,Separated,Sales,Own-child,Black,Female,0,0,40,United-States,<=50K
65,23,Private,211678,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
66,79,Private,124744,Some-college,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,20,United-States,<=50K
67,27,Private,213921,HS-grad,Never-married,Other-service,Own-child,White,Male,0,0,40,Mexico,<=50K
68,40,Private,32214,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
69,18,Private,309634,11th,Never-married,Other-service,Own-child,White,Female,0,0,22,United-States,<=50K
70,31,Local-gov,125927,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
71,18,Private,446839,HS-grad,Never-married,Sales,Not-in-family,White,Male,0,0,30,United-States,<=50K
72,52,Private,276515,Bachelors,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Cuba,<=50K
73,46,Private,51618,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
74,59,Private,159937,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,<=50K
76,53,Private,346253,HS-grad,Divorced,Sales,Own-child,White,Female,0,0,35,United-States,<=50K
78,33,Private,202051,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
79,30,Private,54334,9th,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
81,57,Private,249977,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
82,37,Private,286730,Some-college,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K
83,28,Private,212563,Some-college,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,25,United-States,<=50K
85,29,Local-gov,115585,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States,<=50K
87,48,Private,171095,Assoc-acdm,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,England,<=50K
88,32,Federal-gov,249409,HS-grad,Never-married,Other-service,Own-child,Black,Male,0,0,40,United-States,<=50K
91,47,Self-emp-not-inc,149116,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K
92,20,Private,188300,Some-college,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K
93,29,Private,103432,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
95,30,Private,194901,11th,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
96,31,Local-gov,189265,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
97,42,Private,124692,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
98,24,Private,432376,Bachelors,Never-married,Sales,Other-relative,White,Male,0,0,40,United-States,<=50K
100,28,Private,377869,Some-college,Married-civ-spouse,Sales,Wife,White,Female,4064,0,25,United-States,<=50K
101,36,Private,102864,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50K
102,53,Private,95647,9th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,<=50K
103,56,Self-emp-inc,303090,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
105,55,Private,247552,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,56,United-States,<=50K
106,22,Private,102632,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0,0,41,United-States,<=50K
107,21,Private,199915,Some-college,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
108,40,Private,118853,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
109,30,Private,77143,Bachelors,Never-married,Exec-managerial,Own-child,Black,Male,0,0,40,Germany,<=50K
111,19,Private,301606,Some-college,Never-married,Other-service,Own-child,Black,Male,0,0,35,United-States,<=50K
113,20,Private,111697,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0,1719,28,United-States,<=50K
115,39,Private,365739,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
116,28,Private,69621,Assoc-acdm,Never-married,Sales,Not-in-family,White,Female,0,0,60,United-States,<=50K
117,24,Private,43323,HS-grad,Never-married,Other-service,Not-in-family,White,Female,0,1762,40,United-States,<=50K
118,38,Self-emp-not-inc,120985,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,35,United-States,<=50K
119,37,Private,254202,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
120,46,Private,146195,Assoc-acdm,Divorced,Tech-support,Not-in-family,Black,Female,0,0,36,United-States,<=50K
122,43,Self-emp-not-inc,56920,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
123,27,Private,163127,Assoc-voc,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50K
124,20,Private,34310,Some-college,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
